,,Place,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Connecticut,Cities,Guilford,0,0,1,0,0,0,0,0,1,0,"22,259"
Connecticut,Cities,Hartford,2,1,1,0,0,0,1,1,0,2,"122,891"
Connecticut,Cities,Manchester,2,0,2,0,0,0,1,2,1,0,"57,808"
Connecticut,Cities,Meriden,0,0,1,0,0,0,0,1,0,0,"59,417"
Connecticut,Cities,Middletown,5,2,1,0,0,0,2,1,3,2,"46,363"
Connecticut,Cities,New Britain,0,1,0,0,0,0,0,1,0,0,"72,442"
Connecticut,Cities,New Haven,4,2,3,0,0,1,0,4,4,2,"129,953"
Connecticut,Cities,New London,0,0,1,0,0,0,0,1,0,0,"26,880"
Connecticut,Cities,New Milford,1,0,0,0,0,0,0,0,1,0,"26,993"
Connecticut,Cities,North Branford,0,1,0,0,0,0,0,0,1,0,"14,163"
Connecticut,Cities,North Haven,0,0,1,0,0,0,0,0,0,1,"23,646"
Connecticut,Cities,Norwich,0,1,0,0,0,0,0,0,1,0,"39,393"
Connecticut,Cities,Old Saybrook,3,0,0,0,0,0,1,0,2,0,"10,070"
Connecticut,Cities,Orange,2,1,0,0,0,0,0,1,1,1,"13,904"
Connecticut,Cities,Rocky Hill,2,0,0,0,0,0,0,1,1,0,"20,189"
Connecticut,Cities,Southington,1,0,0,0,0,0,0,1,0,0,"43,769"
Connecticut,Cities,Stamford,3,3,0,0,0,0,1,0,3,2,"130,189"
Connecticut,Cities,Torrington,4,1,0,0,0,0,2,2,0,1,"34,372"
Connecticut,Cities,Trumbull,4,4,1,0,0,0,4,2,1,2,"36,265"
Connecticut,Cities,Waterbury,0,1,0,0,0,0,0,0,1,0,"107,924"
Connecticut,Cities,West Hartford,1,0,0,0,0,0,0,0,0,1,"62,812"
Connecticut,Cities,Westport,1,0,0,0,0,0,0,0,1,0,"28,079"
Connecticut,Cities,Willimantic,1,0,0,0,0,0,0,0,1,0,"17,768"
Connecticut,Cities,Wilton,1,2,0,0,0,0,0,0,2,1,"18,643"
Connecticut,Cities,Windsor,1,0,0,0,0,0,0,1,0,0,"28,836"
Connecticut,Cities,Woodbridge,0,1,0,0,0,0,0,1,0,0,"8,816"
Connecticut,Universities and Colleges,Total,3,0,0,0,0,0,,,,,
Connecticut,Universities and Colleges,Yale University,3,0,0,0,0,0,1,0,2,0,"12,458"
Connecticut,State Police Agencies,Total,2,0,3,0,0,0,,,,,
Connecticut,State Police Agencies,Connecticut State Police,2,0,3,0,0,0,0,1,0,4,
Connecticut,Tribal Agencies,Total,1,0,0,0,0,0,,,,,
Connecticut,Tribal Agencies,Mohegan Tribal,1,0,0,0,0,0,0,1,0,0,
Delaware,Total,Total,14,8,6,0,0,1,,,,,
Delaware,Cities,Total,2,0,4,0,0,1,,,,,
Delaware,Cities,Dewey Beach,0,0,1,0,0,0,0,1,0,0,386
Delaware,Cities,New Castle,0,0,1,0,0,0,1,0,0,0,"5,362"
Delaware,Cities,Rehoboth Beach,1,0,1,0,0,1,0,0,3,0,"1,516"
Delaware,Cities,Wilmington,1,0,1,0,0,0,0,0,0,2,"71,552"
Delaware,Universities and Colleges,Total,4,1,1,0,0,0,,,,,
Delaware,Universities and Colleges,University of Delaware,4,1,1,0,0,0,3,0,1,2,"23,009"
Delaware,Metropolitan Counties,Total,2,4,0,0,0,0,,,,,
Delaware,Metropolitan Counties,New Castle County Police Department,2,4,0,0,0,0,4,0,0,2,
Delaware,State Police Agencies,Total,4,2,0,0,0,0,,,,,
Delaware,State Police Agencies,State Police:,,,,,,,,,,,
Delaware,State Police Agencies,Kent County,2,1,0,0,0,0,0,2,1,0,
Delaware,State Police Agencies,New Castle County,2,1,0,0,0,0,1,1,1,0,
Delaware,Other Agencies,Total,2,1,1,0,0,0,,,,,
Delaware,Other Agencies,Fish and Wildlife,1,0,0,0,0,0,0,0,1,0,
Delaware,Other Agencies,River and Bay Authority,1,0,0,0,0,0,0,0,1,0,
Delaware,Other Agencies,State Capitol Police,0,1,1,0,0,0,1,0,1,0,
District of Columbia,Total,Total,108,14,57,1,0,13,,,,,
District of Columbia,Cities,Total,87,12,56,1,0,13,,,,,
District of Columbia,Cities,Washington,87,12,56,1,0,13,27,40,45,57,"693,972"
District of Columbia,Other Agencies,Total,21,2,1,0,0,0,,,,,
District of Columbia,Other Agencies,Metro Transit Police,21,2,1,0,0,0,6,8,3,7,
Florida,Total,Total,70,43,32,0,0,0,,,,,
Florida,Cities,Total,42,33,26,0,0,0,,,,,
Florida,Cities,Boca Raton,0,1,0,0,0,0,0,0,0,1,"98,069"
Florida,Cities,Clearwater,1,0,0,0,0,0,1,0,0,0,"115,295"
Florida,Cities,Cooper City,0,1,0,0,0,0,0,0,0,1,"36,694"
Florida,Cities,Coral Gables,1,0,0,0,0,0,0,0,0,1,"51,487"
Florida,Cities,Davie,4,3,0,0,0,0,3,1,1,2,"103,555"
Florida,Cities,Deerfield Beach,2,0,0,0,0,0,0,1,0,1,"80,552"
Florida,Cities,Delray Beach,0,1,0,0,0,0,1,0,0,0,"68,533"
Florida,Cities,Fort Lauderdale,2,2,2,0,0,0,0,2,3,1,"180,972"
Florida,Cities,Fort Myers,1,1,1,0,0,0,1,1,0,1,"79,918"
Florida,Cities,Gainesville,0,1,0,0,0,0,0,0,1,0,"132,777"
Florida,Cities,Hollywood,0,0,1,0,0,0,1,0,0,0,"153,893"
Florida,Cities,Homestead,1,1,2,0,0,0,0,1,,3,"69,276"
Florida,Cities,Jacksonville,3,2,1,0,0,0,1,0,2,3,"894,638"
Florida,Cities,Key Biscayne,0,0,1,0,0,0,1,0,0,0,"13,127"
Florida,Cities,Key West,0,0,1,0,0,0,1,0,0,0,"27,399"
Florida,Cities,Lake City,1,0,0,0,0,0,1,0,0,0,"12,326"
Florida,Cities,Largo,1,2,0,0,0,0,2,0,1,,"83,728"
Florida,Cities,Lauderdale-by-the-Sea,1,0,0,0,0,0,,,1,,"6,589"
Florida,Cities,Leesburg,1,0,0,0,0,0,1,0,0,0,"22,763"
Florida,Cities,Mangonia Park,0,0,1,0,0,0,0,0,0,1,"2,009"
Florida,Cities,Miami Beach,0,7,9,0,0,0,8,6,1,1,"92,571"
Florida,Cities,Miami Gardens,0,2,0,0,0,0,2,0,0,0,"114,008"
Florida,Cities,New Port Richey,1,0,0,0,0,0,0,0,1,0,"16,388"
Florida,Cities,North Miami,1,0,0,0,0,0,1,0,0,0,"62,543"
Florida,Cities,Oakland Park,2,1,1,0,0,0,1,1,1,1,"44,814"
Florida,Cities,Ocala,0,0,1,0,0,0,1,0,0,0,"59,731"
Florida,Cities,Orlando,2,0,3,0,0,0,1,2,1,1,"283,982"
Florida,Cities,Palm Bay,1,0,1,0,0,0,0,1,1,0,"111,275"
Florida,Cities,Pompano Beach,2,1,0,0,0,0,0,0,1,2,"111,027"
Florida,Cities,Port St. Lucie,0,0,1,0,0,0,0,1,0,0,"188,652"
Florida,Cities,Rockledge,1,0,0,0,0,0,1,0,0,0,"27,432"
Florida,Cities,St. Augustine,1,0,0,0,0,0,0,1,0,0,"14,500"
Florida,Cities,Sunrise,1,1,0,0,0,0,0,0,0,2,"95,342"
Florida,Cities,Tampa,3,0,0,0,0,0,2,0,0,1,"384,360"
Florida,Cities,Titusville,5,0,0,0,0,0,0,0,5,0,"46,425"
Florida,Cities,Weston,1,2,0,0,0,0,0,0,1,2,"70,796"
Florida,Cities,West Palm Beach,2,0,0,0,0,0,1,1,0,0,"109,459"
Florida,Cities,Wilton Manors,0,3,0,0,0,0,0,1,2,0,"12,861"
Florida,Cities,Winter Park,0,1,0,0,0,0,0,1,0,0,"30,602"
Florida,Universities and Colleges,Total,1,2,1,0,0,0,,,,,
Florida,Universities and Colleges,Florida Gulf Coast University,0,1,0,0,0,0,0,0,0,1,"14,821"
Florida,Universities and Colleges,Tallahassee Community College,0,1,0,0,0,0,0,0,1,0,"12,200"
Florida,Universities and Colleges,"University of South Florida, Tampa",1,0,0,0,0,0,1,0,0,0,"42,861"
Florida,Universities and Colleges,University of West Florida,0,0,1,0,0,0,0,0,0,1,"12,966"
Florida,Metropolitan Counties,Total,25,8,5,0,0,0,,,,,
Florida,Metropolitan Counties,Alachua,1,0,0,0,0,0,0,0,1,0,
Florida,Metropolitan Counties,Broward,1,0,0,0,0,0,1,0,0,0,
Florida,Metropolitan Counties,Charlotte,1,0,0,0,0,0,0,1,0,0,
Florida,Metropolitan Counties,Clay,1,1,0,0,0,0,0,0,0,2,
Florida,Metropolitan Counties,Collier,0,1,0,0,0,0,0,0,0,1,
Florida,Metropolitan Counties,Hillsborough,0,1,0,0,0,0,0,1,0,0,
Florida,Metropolitan Counties,Lake,1,0,0,0,0,0,1,0,0,0,
Florida,Metropolitan Counties,Lee,4,1,1,0,0,0,2,3,0,1,
Florida,Metropolitan Counties,Leon,1,0,0,0,0,0,1,0,0,0,
Florida,Metropolitan Counties,Martin,1,0,0,0,0,0,0,1,0,0,
Florida,Metropolitan Counties,Miami-Dade,0,0,1,0,0,0,0,0,0,1,
Florida,Metropolitan Counties,Okaloosa,1,0,0,0,0,0,0,1,,,
Florida,Metropolitan Counties,Orange,2,0,0,0,0,0,2,0,0,0,
Florida,Metropolitan Counties,Osceola,2,1,1,0,0,0,2,0,1,1,
Florida,Metropolitan Counties,Palm Beach,1,1,0,0,0,0,1,1,0,0,
Florida,Metropolitan Counties,Pasco,3,0,0,0,0,0,0,0,3,0,
Florida,Metropolitan Counties,Pinellas,0,1,0,0,0,0,1,0,0,0,
Florida,Metropolitan Counties,Santa Rosa,0,0,1,0,0,0,1,0,0,0,
Florida,Metropolitan Counties,Sarasota,0,1,0,0,0,0,0,0,1,0,
Florida,Metropolitan Counties,Seminole,1,0,1,0,0,0,0,0,1,1,
Florida,Metropolitan Counties,St. Johns,3,0,0,0,0,0,1,2,0,0,
Florida,Metropolitan Counties,Volusia,1,0,0,0,0,0,1,0,0,0,
Florida,Nonmetropolitan Counties,Total,2,0,0,0,0,0,,,,,
Florida,Nonmetropolitan Counties,Hendry,1,0,0,0,0,0,1,0,0,0,
Florida,Nonmetropolitan Counties,Monroe,1,0,0,0,0,0,1,0,0,0,
Georgia,Total,Total,19,5,4,0,0,0,,,,,
Georgia,Cities,Total,5,1,3,0,0,0,,,,,
Georgia,Cities,Atlanta,0,1,2,0,0,0,2,1,0,0,"481,343"
Georgia,Cities,Columbus,3,0,1,0,0,0,1,2,1,,"198,832"
Georgia,Cities,Warner Robins,1,0,0,0,0,0,1,0,0,0,"75,323"
Georgia,Cities,Woodstock,1,0,0,0,0,0,0,1,0,0,"32,293"
Georgia,Universities and Colleges,Total,2,0,0,0,0,0,,,,,
Georgia,Universities and Colleges,University of Georgia,2,0,0,0,0,0,1,0,1,0,"36,574"
Georgia,Metropolitan Counties,Total,12,4,1,0,0,0,,,,,
Georgia,Metropolitan Counties,Cobb County Police Department,9,2,1,0,0,0,1,5,3,3,
Georgia,Metropolitan Counties,Forsyth,1,0,0,0,0,0,1,0,0,0,
Georgia,Metropolitan Counties,Gwinnett County Police Department,2,2,0,0,0,0,1,2,0,0,
Idaho,Total,Total,30,17,4,2,0,0,,,,,
Idaho,Cities,Total,24,15,4,2,0,0,,,,,
Idaho,Cities,Boise,7,6,2,0,0,0,1,5,6,3,"225,677"
Idaho,Cities,Bonners Ferry,0,1,0,0,0,0,0,0,1,0,"2,574"
Idaho,Cities,Caldwell,2,0,0,0,0,0,1,1,0,0,"54,345"
Idaho,Cities,Coeur d'Alene,2,0,0,0,0,0,0,1,1,0,"51,364"
Idaho,Cities,Heyburn,0,1,0,0,0,0,1,0,0,0,"3,306"
Idaho,Cities,Kimberly,2,0,0,0,0,0,0,0,1,1,"3,812"
Idaho,Cities,Lewiston,3,0,0,0,0,0,0,1,1,1,"33,029"
Idaho,Cities,Middleton,1,0,0,0,0,0,0,0,1,0,"7,486"
Idaho,Cities,Moscow,1,0,0,0,0,0,0,1,0,0,"25,576"
Idaho,Cities,Mountain Home,2,0,0,0,0,0,0,1,0,1,"13,772"
Idaho,Cities,Nampa,2,1,1,0,0,0,2,1,1,0,"93,064"
Idaho,Cities,Pocatello,0,1,0,0,0,0,1,0,0,0,"54,814"
Idaho,Cities,Preston,0,3,0,0,0,0,1,1,1,0,"5,372"
Idaho,Cities,Soda Springs,1,0,0,0,0,0,0,0,0,1,"2,970"
Idaho,Cities,Spirit Lake,1,0,0,0,0,0,0,0,0,1,"2,207"
Idaho,Cities,Twin Falls,0,2,1,2,0,0,0,1,0,4,"48,912"
Idaho,Metropolitan Counties,Total,0,1,0,0,0,0,,,,,
Idaho,Metropolitan Counties,Kootenai,0,1,0,0,0,0,0,0,1,0,
Idaho,Nonmetropolitan Counties,Total,5,0,0,0,0,0,,,,,
Idaho,Nonmetropolitan Counties,Cassia,3,0,0,0,0,0,1,0,2,0,
Idaho,Nonmetropolitan Counties,Idaho,1,0,0,0,0,0,0,0,1,0,
Idaho,Nonmetropolitan Counties,Teton,1,0,0,0,0,0,0,0,1,0,
Idaho,State Police Agencies,Total,1,1,0,0,0,0,,,,,
Idaho,State Police Agencies,Idaho State Police,1,1,0,0,0,0,0,1,1,0,
Illinois,Total,Total,39,27,14,1,0,1,,,,,
Illinois,Cities,Total,37,23,14,1,0,1,,,,,
Illinois,Cities,Aurora,2,0,0,0,0,0,1,1,0,0,"201,599"
Illinois,Cities,Berwyn,1,1,1,0,0,0,1,0,1,1,"55,594"
Illinois,Cities,Bloomington,1,0,0,0,0,0,0,1,0,0,"78,203"
Illinois,Cities,Chicago,16,17,7,0,0,1,18,5,10,8,"2,706,171"
Illinois,Cities,Decatur,1,0,0,0,0,0,0,0,1,0,"72,153"
Illinois,Cities,De Kalb,0,1,0,0,0,0,0,0,0,1,"43,043"
Illinois,Cities,East Peoria,1,0,0,0,0,0,1,0,0,0,"22,856"
Illinois,Cities,Forest Park,0,0,1,0,0,0,0,0,1,0,"13,950"
Illinois,Cities,Fox Lake,1,0,0,0,0,0,0,1,0,0,"10,432"
Illinois,Cities,Fox River Grove,1,0,0,0,0,0,0,0,0,1,"4,628"
Illinois,Cities,Homewood,2,0,0,0,0,0,0,1,1,0,"19,150"
Illinois,Cities,Manhattan,1,0,0,0,0,0,0,0,0,1,"7,625"
Illinois,Cities,Mount Prospect,0,2,0,0,0,0,0,0,2,0,"54,162"
Illinois,Cities,New Lenox,0,0,0,1,0,0,1,0,0,0,"26,529"
Illinois,Cities,Oak Park,1,0,0,0,0,0,0,0,1,0,"51,753"
Illinois,Cities,Pekin,1,0,0,0,0,0,0,0,0,1,"32,866"
Illinois,Cities,Peoria,0,0,1,0,0,0,0,1,0,0,"114,157"
Illinois,Cities,Plainfield,0,1,0,0,0,0,0,0,1,0,"43,450"
Illinois,Cities,Pontiac,1,0,0,0,0,0,0,1,0,0,"11,813"
Illinois,Cities,Rockford,2,0,2,0,0,0,0,2,1,1,"146,770"
Illinois,Cities,Sandoval,1,0,0,0,0,0,0,0,1,0,"1,211"
Illinois,Cities,Skokie,1,0,0,0,0,0,0,1,0,0,"64,167"
Illinois,Cities,Springfield,2,0,1,0,0,0,0,0,3,0,"115,568"
Illinois,Cities,Urbana,1,0,0,0,0,0,0,1,0,0,"42,091"
Illinois,Cities,West Chicago,0,0,1,0,0,0,0,0,1,0,"27,219"
Illinois,Cities,Wheaton,0,1,0,0,0,0,0,1,0,0,"53,444"
Illinois,Universities and Colleges,Total,0,1,0,0,0,0,,,,,
Illinois,Universities and Colleges,Illinois State University,0,1,0,0,0,0,0,0,0,1,"21,039"
Illinois,Metropolitan Counties,Total,2,3,0,0,0,0,,,,,
Illinois,Metropolitan Counties,Lake,0,1,0,0,0,0,1,0,0,0,
Illinois,Metropolitan Counties,Macon,1,0,0,0,0,0,0,0,1,0,
Illinois,Metropolitan Counties,Peoria,1,0,0,0,0,0,0,0,0,1,
Illinois,Metropolitan Counties,Will,0,1,0,0,0,0,0,1,0,0,
Illinois,Metropolitan Counties,Winnebago,0,1,0,0,0,0,0,0,0,1,
Indiana,Total,Total,32,13,9,1,0,0,,,,,
Indiana,Cities,Total,27,4,7,0,0,0,,,,,
Indiana,Cities,Bloomington,6,2,2,0,0,0,1,4,3,2,"85,121"
Indiana,Cities,Fishers,2,0,0,0,0,0,0,0,1,1,"92,367"
Indiana,Cities,Fort Wayne,2,0,2,0,0,0,0,2,1,1,"266,259"
Indiana,Cities,Hammond,2,0,1,0,0,0,,,2,1,"76,550"
Indiana,Cities,Lafayette,8,0,1,0,0,0,2,5,,2,"72,274"
Indiana,Cities,Lawrence,2,1,0,0,0,0,0,1,2,0,"48,174"
Indiana,Cities,Michigan City,1,0,0,0,0,0,0,0,0,1,"31,108"
Indiana,Cities,Plainfield,1,0,1,0,0,0,1,1,0,0,"32,067"
Indiana,Cities,South Bend,3,0,0,0,0,0,2,,0,1,"101,857"
Indiana,Cities,Whitestown,0,1,0,0,0,0,0,0,1,0,"7,464"
Indiana,Universities and Colleges,Total,1,0,0,0,0,0,,,,,
Indiana,Universities and Colleges,Purdue University,1,0,0,0,0,0,1,,,,"41,513"
Indiana,Metropolitan Counties,Total,2,0,0,0,0,0,,,,,
Indiana,Metropolitan Counties,Vigo,2,0,0,0,0,0,0,0,1,1,
Indiana,State Police Agencies,Total,2,9,2,1,0,0,,,,,
Indiana,State Police Agencies,State Police:,,,,,,,,,,,
Indiana,State Police Agencies,Crawford County,0,1,0,0,0,0,1,0,0,0,
Indiana,State Police Agencies,Floyd County,0,1,0,0,0,0,0,0,0,1,
Indiana,State Police Agencies,Marion County,1,2,1,1,0,0,1,1,3,0,
Indiana,State Police Agencies,Miami County,0,1,0,0,0,0,0,0,1,0,
Indiana,State Police Agencies,Monroe County,0,1,0,0,0,0,0,0,0,1,
Indiana,State Police Agencies,Posey County,0,1,0,0,0,0,0,0,0,1,
Indiana,State Police Agencies,Scott County,0,2,0,0,0,0,0,0,1,1,
Indiana,State Police Agencies,Vanderburgh County,1,0,0,0,0,0,0,0,0,1,
Indiana,State Police Agencies,Washington County,0,0,1,0,0,0,1,0,0,0,
Iowa,Total,Total,9,1,1,0,0,0,,,,,
Iowa,Cities,Total,9,1,1,0,0,0,,,,,
Iowa,Cities,Altoona,1,0,0,0,0,0,1,0,0,0,"18,556"
Iowa,Cities,Ames,1,0,0,0,0,0,0,0,1,0,"67,461"
Iowa,Cities,Clinton,1,0,0,0,0,0,0,1,0,0,"25,532"
Iowa,Cities,Dubuque,1,0,0,0,0,0,0,1,0,0,"58,674"
Iowa,Cities,Iowa City,3,0,0,0,0,0,2,0,1,0,"75,519"
Iowa,Cities,Marshalltown,0,1,0,0,0,0,1,0,0,0,"27,287"
Iowa,Cities,Urbandale,1,0,0,0,0,0,0,0,0,1,"43,637"
Iowa,Cities,Waukee,1,0,1,0,0,0,1,0,1,0,"20,359"
Kansas,Total,Total,39,16,11,9,0,0,,,,,
Kansas,Cities,Total,28,11,9,7,0,0,,,,,
Kansas,Cities,Arma,0,0,1,0,0,0,0,0,1,0,"1,438"
Kansas,Cities,Coffeyville,1,1,0,0,0,0,1,0,0,1,"9,423"
Kansas,Cities,Dodge City,1,3,0,1,0,0,1,0,3,1,"27,447"
Kansas,Cities,Edwardsville,1,0,0,0,0,0,0,0,1,0,"4,395"
Kansas,Cities,El Dorado,0,1,0,0,0,0,0,1,0,0,"13,125"
Kansas,Cities,Emporia,1,1,0,0,0,0,2,0,0,0,"24,804"
Kansas,Cities,Garden City,2,1,0,0,0,0,0,0,3,0,"26,728"
Kansas,Cities,Haven,1,0,0,0,0,0,0,1,0,0,"1,207"
Kansas,Cities,Hays,0,1,0,0,0,0,0,1,0,0,"21,110"
Kansas,Cities,Haysville,1,0,0,0,0,0,0,1,0,0,"11,314"
Kansas,Cities,Herington,0,0,1,0,0,0,1,0,0,0,"2,336"
Kansas,Cities,Hutchinson,1,0,0,1,0,0,0,1,0,1,"41,160"
Kansas,Cities,Junction City,1,0,0,0,0,0,0,1,0,0,"24,240"
Kansas,Cities,Liberal,0,0,0,1,0,0,0,0,0,1,"20,317"
Kansas,Cities,Lindsborg,0,0,1,1,0,0,1,0,0,1,"3,319"
Kansas,Cities,Mulvane,1,0,0,0,0,0,1,0,0,0,"6,343"
Kansas,Cities,Newton,2,0,0,0,0,0,2,0,0,0,"19,095"
Kansas,Cities,Norton,1,0,1,1,0,0,3,0,0,0,"2,799"
Kansas,Cities,Ottawa,3,1,0,0,0,0,2,1,1,,"12,307"
Kansas,Cities,Salina,4,1,2,1,0,0,2,2,2,2,"47,251"
Kansas,Cities,Sedgwick,1,0,0,0,0,0,0,0,0,1,"1,695"
Kansas,Cities,Shawnee,1,0,0,0,0,0,0,1,0,0,"65,683"
Kansas,Cities,Tonganoxie,0,0,0,1,0,0,0,1,0,0,"5,379"
Kansas,Cities,Topeka,1,0,0,0,0,0,1,0,0,0,"126,624"
Kansas,Cities,Valley Center,2,0,0,0,0,0,0,2,0,0,"7,431"
Kansas,Cities,Wichita,2,1,3,0,0,0,2,3,0,1,"391,084"
Kansas,Universities and Colleges,Total,1,0,0,0,0,0,,,,,
Kansas,Universities and Colleges,Kansas State University,1,0,0,0,0,0,1,0,0,0,"23,779"
Kansas,Metropolitan Counties,Total,8,2,1,1,0,0,,,,,
Kansas,Metropolitan Counties,Doniphan,0,0,0,1,0,0,0,0,1,0,
Kansas,Metropolitan Counties,Johnson,1,0,0,0,0,0,0,0,1,0,
Kansas,Metropolitan Counties,Riley County Police Department,3,1,0,0,0,0,0,0,3,1,
Kansas,Metropolitan Counties,Sedgwick,2,0,0,0,0,0,0,0,1,1,
Kansas,Metropolitan Counties,Shawnee,2,1,1,0,0,0,0,2,0,2,
Kansas,Nonmetropolitan Counties,Total,2,3,1,0,0,0,,,,,
Kansas,Nonmetropolitan Counties,Barton,0,1,0,0,0,0,0,0,1,0,
Kansas,Nonmetropolitan Counties,Crawford,0,1,1,0,0,0,1,0,1,0,
Kansas,Nonmetropolitan Counties,Ford,0,1,0,0,0,0,0,0,0,1,
Kansas,Nonmetropolitan Counties,Labette,1,0,0,0,0,0,0,1,0,0,
Kansas,Nonmetropolitan Counties,Saline,1,0,0,0,0,0,0,0,0,1,
Kansas,State Police Agencies,Total,0,0,0,1,0,0,,,,,
Kansas,State Police Agencies,"Highway Patrol, Troop E",0,0,0,1,0,0,0,0,0,1,
Kentucky,Total,Total,283,38,27,12,16,3,,,,,
Kentucky,Cities,Total,186,21,17,6,7,3,,,,,
Kentucky,Cities,Alexandria,1,2,0,0,0,0,1,2,0,0,"9,486"
Kentucky,Cities,Ashland,0,0,1,0,0,0,1,0,0,0,"20,927"
Kentucky,Cities,Barbourville,1,0,0,0,1,0,0,1,0,1,"3,169"
Kentucky,Cities,Bowling Green,18,2,2,2,1,0,3,4,10,8,"66,317"
Kentucky,Cities,Cadiz,0,0,1,0,0,0,1,0,0,0,"2,629"
Kentucky,Cities,Carrollton,2,0,0,0,0,0,1,1,0,0,"3,864"
Kentucky,Cities,Cold Spring,1,0,0,0,0,0,0,0,0,1,"6,276"
Kentucky,Cities,Corbin,2,0,0,0,0,0,0,0,0,2,"7,411"
Kentucky,Cities,Covington,4,1,1,0,0,0,1,2,0,3,"40,845"
Kentucky,Cities,Cynthiana,1,0,0,0,0,0,0,0,1,0,"6,375"
Kentucky,Cities,Danville,3,0,0,0,0,0,0,1,1,1,"16,891"
Kentucky,Cities,Dayton,2,0,0,0,0,0,0,1,0,1,"5,423"
Kentucky,Cities,Elizabethtown,4,0,0,0,0,0,0,1,2,1,"30,065"
Kentucky,Cities,Elsmere,1,1,0,0,0,0,2,0,0,0,"8,541"
Kentucky,Cities,Erlanger,1,0,0,0,1,0,0,0,2,0,"22,947"
Kentucky,Cities,Falmouth,1,0,0,0,0,0,0,0,1,0,"2,127"
Kentucky,Cities,Florence,19,1,0,0,1,0,8,6,5,2,"32,866"
Kentucky,Cities,Fort Mitchell,1,0,0,0,0,0,0,1,0,0,"8,306"
Kentucky,Cities,Frankfort,5,1,0,0,1,0,1,2,0,4,"27,975"
Kentucky,Cities,Franklin,3,0,1,0,0,0,0,2,0,2,"8,884"
Kentucky,Cities,Fulton,0,0,1,0,0,0,0,0,1,0,"2,174"
Kentucky,Cities,Georgetown,2,0,0,0,0,1,1,1,0,1,"34,184"
Kentucky,Cities,Glasgow,6,0,0,0,0,0,0,3,1,2,"14,690"
Kentucky,Cities,Greensburg,1,0,0,0,0,0,0,0,0,1,"2,123"
Kentucky,Cities,Hillview,1,0,0,0,0,0,0,1,0,0,"8,942"
Kentucky,Cities,Hopkinsville,2,0,0,0,0,0,1,0,0,1,"31,761"
Kentucky,Cities,Independence,1,0,0,0,0,0,1,0,0,0,"27,400"
Kentucky,Cities,Irvine,0,0,0,1,0,0,0,0,0,1,"2,385"
Kentucky,Cities,La Center,0,0,1,0,0,0,1,0,0,0,982
Kentucky,Cities,La Grange,1,0,0,0,0,0,0,0,0,1,"8,831"
Kentucky,Cities,Lawrenceburg,2,0,0,0,0,0,0,1,0,1,"11,211"
Kentucky,Cities,Leitchfield,1,0,0,0,0,0,0,0,1,0,"6,900"
Kentucky,Cities,Lexington,20,3,3,0,0,1,7,6,9,5,"322,332"
Kentucky,Cities,London,1,0,0,0,0,0,0,0,1,0,"8,184"
Kentucky,Cities,Louisville Metro,11,2,0,1,0,0,5,0,7,2,"684,362"
Kentucky,Cities,Madisonville,1,1,0,0,0,0,0,1,0,1,"19,316"
Kentucky,Cities,Mayfield,6,0,1,0,0,0,0,1,3,3,"9,991"
Kentucky,Cities,Maysville,8,0,0,0,1,0,0,3,3,3,"8,841"
Kentucky,Cities,Middlesboro,1,0,0,0,0,0,0,0,0,1,"9,534"
Kentucky,Cities,Morehead,1,0,0,0,0,0,0,0,1,0,"7,915"
Kentucky,Cities,Mount Sterling,2,0,0,0,0,0,1,0,0,1,"7,298"
Kentucky,Cities,Mount Washington,1,0,0,0,0,0,0,1,0,0,"14,511"
Kentucky,Cities,Murray,2,0,1,0,1,0,0,1,3,0,"19,205"
Kentucky,Cities,Newport,1,0,0,0,0,0,0,1,0,0,"15,202"
Kentucky,Cities,Nicholasville,4,0,0,0,0,0,1,0,1,2,"30,333"
Kentucky,Cities,Owensboro,5,1,1,0,0,0,2,0,3,2,"59,576"
Kentucky,Cities,Paducah,10,2,1,0,0,1,4,5,3,2,"25,169"
Kentucky,Cities,Paris,2,0,1,0,0,0,1,1,1,0,"9,845"
Kentucky,Cities,Park Hills,1,0,0,0,0,0,0,0,1,0,"3,001"
Kentucky,Cities,Princeton,0,1,0,0,0,0,0,0,0,1,"6,084"
Kentucky,Cities,Providence,1,0,0,0,0,0,1,0,0,0,"3,088"
Kentucky,Cities,Radcliff,3,0,0,0,0,0,0,1,0,2,"22,473"
Kentucky,Cities,Richmond,5,0,1,0,0,0,1,2,1,2,"35,161"
Kentucky,Cities,Russell Springs,1,0,0,0,0,0,0,0,0,1,"2,573"
Kentucky,Cities,Russellville,0,0,0,1,0,0,0,0,0,1,"7,006"
Kentucky,Cities,Scottsville,1,0,0,0,0,0,0,1,0,0,"4,446"
Kentucky,Cities,Shelbyville,2,0,0,1,0,0,0,1,1,1,"15,758"
Kentucky,Cities,Shively,2,0,0,0,0,0,0,1,0,1,"15,830"
Kentucky,Cities,St. Matthews,4,1,0,0,0,0,1,2,0,2,"18,163"
Kentucky,Cities,Versailles,0,1,0,0,0,0,0,1,0,0,"26,320"
Kentucky,Cities,Villa Hills,1,0,0,0,0,0,1,0,0,0,"7,494"
Kentucky,Cities,Wilmore,1,0,0,0,0,0,0,0,1,0,"6,380"
Kentucky,Cities,Winchester,1,0,0,0,0,0,0,1,0,0,"18,478"
