,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Dearborn,4,0,0,0,0,0,4,0,0,0,"93,889"
Dearborn,0,1,0,0,0,0,0,1,0,0,"9,131"
Dearborn Heights,1,1,1,0,0,0,1,1,0,1,"55,454"
Decatur,1,0,0,0,0,0,0,0,1,0,"72,153"
Decatur,1,0,0,0,0,0,0,0,0,1,"6,755"
Deer Lodge,0,0,1,0,0,0,0,0,1,0,
Deerfield Beach,2,0,0,0,0,0,0,1,0,1,"80,552"
Defiance,1,0,0,0,0,0,0,1,0,0,"16,594"
Delanco Township,2,0,0,0,0,0,2,0,0,0,"4,528"
Delaware,0,1,2,0,0,0,1,1,1,0,
Delhi,0,1,0,0,0,0,0,0,0,1,"3,511"
Delray Beach,0,1,0,0,0,0,1,0,0,0,"68,533"
Delta,0,0,0,1,1,0,0,0,0,1,"8,925"
Denmark,3,0,0,0,0,0,0,0,0,3,"2,942"
Denton,1,1,2,0,0,0,0,0,3,1,"136,836"
Denver,9,2,6,0,0,0,4,7,1,5,"706,616"
Department of Parks and Recreation:,,,,,,,,,,,
Department of Safety,8,1,0,0,0,0,0,2,5,2,
Desert Hot Springs,1,0,0,0,0,0,1,0,0,0,"28,717"
Detroit,22,2,15,0,2,0,15,10,9,7,"670,792"
Devine,3,0,0,0,0,0,,0,0,3,"4,847"
Dewey Beach,0,0,1,0,0,0,0,1,0,0,386
Dillon,1,0,0,0,0,0,0,0,0,1,
Dodge City,1,3,0,1,0,0,1,0,3,1,"27,447"
Dominguez Hills,2,0,0,0,0,0,0,1,1,0,"14,731"
Doniphan,0,0,0,1,0,0,0,0,1,0,
Douglas,1,0,0,0,0,0,1,0,0,0,
Dover,1,0,0,0,0,0,1,0,0,0,"31,344"
Dover,1,0,1,0,0,0,1,1,0,0,"18,339"
Dover,0,0,1,0,0,0,0,0,0,1,"1,076"
Dracut,0,4,1,0,0,0,1,1,0,3,"31,685"
Draper,1,0,0,0,0,0,0,0,0,1,"48,197"
Dry Ridge,1,0,0,0,0,0,0,1,0,0,
Duarte,2,0,0,0,0,0,2,0,0,0,"21,877"
Dublin,1,0,0,0,0,0,0,1,0,0,"62,235"
Dubuque,1,0,0,0,0,0,0,1,0,0,"58,674"
Duchesne,1,0,0,0,0,0,0,1,0,0,
Duchess County ,1,2,0,0,0,0,2,0,0,1,
Duluth,1,0,1,0,0,0,1,0,1,0,"86,306"
Dumas,1,0,0,0,0,0,0,0,0,1,"14,943"
Dupont,1,0,0,0,0,0,1,0,0,0,"9,721"
Durango,0,1,0,0,0,0,0,0,1,0,"18,801"
Durham,13,1,2,0,0,0,3,4,6,3,"269,088"
Duxbury,1,2,0,0,0,0,0,1,2,0,"16,085"
East Brunswick Township,11,13,0,0,0,0,4,13,5,2,"49,019"
East Carolina University,1,0,1,0,0,0,0,0,0,2,"28,962"
East Earl Township,1,0,0,0,0,0,0,1,0,0,"6,838"
East Grand Rapids,1,0,0,0,0,0,0,0,0,1,"11,812"
East Hanover Township,2,1,0,0,0,0,1,2,0,0,"11,284"
East Haven,1,0,0,0,0,0,0,1,0,0,"28,739"
East Lansing,2,1,0,0,0,0,0,1,2,0,"48,920"
East Orange,1,1,0,0,0,0,0,1,1,0,"65,160"
East Palo Alto,0,1,0,0,0,0,0,0,0,1,"29,933"
East Peoria,1,0,0,0,0,0,1,0,0,0,"22,856"
East Providence,0,3,0,0,0,0,0,1,2,0,"47,502"
East Windsor,1,0,0,0,0,0,0,1,0,0,"11,383"
East Windsor Township,1,0,0,0,0,0,0,0,0,1,"27,571"
Eastampton Township,1,0,0,0,0,0,1,0,0,0,"5,962"
Eastern Kentucky University,1,0,4,0,0,0,2,2,0,1,"16,881"
Eastern Michigan University,3,0,0,0,0,0,0,1,2,0,"21,246"
Eastern Washington University,0,0,0,0,1,1,1,0,1,0,"12,279"
Eastpointe,1,0,0,0,0,0,0,1,0,0,"32,712"
Eaton,1,0,0,0,0,0,0,0,1,0,
Eaton County,1,0,0,0,0,0,0,0,1,0,
Eatontown,0,0,1,0,0,0,0,0,0,1,"12,258"
Eau Claire,1,0,0,0,0,0,1,0,0,0,"68,687"
Ecorse,2,0,0,0,0,0,0,0,2,0,"9,132"
Eden Prairie,1,0,0,0,0,0,0,0,0,1,"64,429"
Edgartown,0,0,1,0,0,0,0,0,0,1,"4,323"
Edina,0,1,0,0,0,0,0,0,1,0,"51,923"
Edison Township,6,3,1,0,0,0,2,2,4,2,"102,699"
Edmonds,6,0,0,0,0,0,1,4,0,1,"42,197"
Edwardsville,1,0,0,0,0,0,0,0,1,0,"4,395"
Egg Harbor Township,1,0,0,0,0,0,0,0,0,1,"43,515"
El Cajon,4,0,2,0,0,0,0,2,3,1,"104,447"
El Dorado,2,0,0,0,0,0,0,0,1,1,
El Dorado,0,1,0,0,0,0,0,1,0,0,"13,125"
El Mirage,1,0,0,0,0,0,0,1,,,"35,611"
El Monte,2,0,1,0,0,0,1,1,0,1,"116,168"
El Paso,2,0,1,0,0,0,1,0,1,1,
El Paso,4,0,0,0,0,0,4,0,0,0,"688,667"
El Segundo,1,0,0,0,0,0,0,0,1,0,"16,932"
Elizabeth,0,1,0,0,0,0,1,0,0,0,"129,726"
Elizabethtown,4,0,0,0,0,0,0,1,2,1,"30,065"
Elizabethtown,1,0,0,1,0,0,1,0,0,1,
Elizabethtown College,1,0,0,0,0,0,0,0,0,1,"1,784"
Elk Grove,4,0,0,0,0,0,0,1,2,1,"172,620"
Ellensburg,0,1,0,0,0,0,0,0,0,1,"20,026"
Elloree,1,0,0,0,0,0,0,0,0,1,666
Elmwood Park,1,0,0,0,0,0,0,0,0,1,"20,515"
Elsmere,1,1,0,0,0,0,2,0,0,0,"8,541"
Emerson,0,1,0,0,0,0,0,1,0,0,"7,747"
Emmet,1,0,0,0,0,0,0,0,1,0,
Emporia,1,1,0,0,0,0,2,0,0,0,"24,804"
Emporia,1,0,0,0,0,0,1,0,0,0,"5,201"
Enfield,1,0,0,0,0,0,1,0,0,0,"44,321"
Englewood,2,0,0,0,0,0,0,1,1,0,"34,709"
Englewood,8,1,0,0,0,0,0,1,0,8,"28,795"
Englewood,0,0,1,1,0,0,1,1,0,0,"13,504"
Epping,0,1,0,0,0,0,1,0,0,0,"6,978"
Erie County,1,0,0,0,0,0,0,0,1,0,
Erlanger,1,0,0,0,1,0,0,0,2,0,"22,947"
Escanaba,0,1,0,0,0,0,0,0,1,0,"12,280"
Escondido,5,0,0,0,0,0,3,0,1,1,"152,845"
Essex,0,0,1,0,0,0,0,0,0,1,"21,470"
Eugene,46,12,8,1,1,4,16,23,14,19,"168,310"
Everett,2,0,0,0,0,0,0,0,1,1,"47,185"
Everett,5,0,1,0,0,0,2,1,2,1,"110,040"
Evergreen State College,1,0,0,0,0,0,0,1,0,0,"4,089"
Evesham Township,10,7,0,1,0,0,2,4,5,7,"45,314"
Fair Lawn,0,0,1,0,0,0,0,0,0,1,"33,759"
Fairborn,2,0,0,0,0,0,1,1,0,0,"33,936"
Fairfax,1,0,0,0,0,0,0,0,0,1,"1,702"
Fairfax County Police Department,17,11,8,0,0,0,11,5,11,9,
Fairfield,3,0,0,0,0,0,0,1,1,1,"116,372"
Fairfield,1,0,0,0,0,0,0,0,0,1,
Fairland,0,1,0,0,0,0,1,0,0,0,"1,051"
Fairmont,1,0,0,0,0,0,1,0,0,0,"18,604"
Fairview,1,0,0,0,0,0,0,1,0,0,"8,648"
Fairview Park,1,0,0,0,0,0,0,0,0,1,"16,307"
Falmouth,1,0,0,0,0,0,0,0,1,0,"2,127"
Fargo,1,2,0,0,0,0,0,0,3,0,"123,430"
Farmington Hills,0,1,0,0,0,0,1,0,0,0,"81,359"
Farmville,0,1,0,0,0,0,0,0,1,0,"8,127"
Fauquier,3,0,0,0,0,0,1,0,1,1,
Fayette,1,0,0,0,0,0,0,0,0,1,
Fayette County Schools,0,2,0,1,0,0,1,0,1,1,
Fayetteville,0,0,1,0,0,0,0,0,0,1,"85,592"
Fayetteville,3,1,2,1,0,0,2,2,1,2,"205,432"
Federal Way,0,1,0,0,0,0,0,0,1,0,"98,014"
Ferndale,4,0,1,0,0,0,2,0,1,2,"20,131"
Festus,0,0,1,0,0,0,0,1,0,0,"12,187"
Fife,2,0,0,0,0,0,0,1,1,0,"10,264"
Findlay,2,0,1,0,0,0,0,0,2,1,"41,474"
Fish and Wildlife,1,0,0,0,0,0,0,0,1,0,
Fishers,2,0,0,0,0,0,0,0,1,1,"92,367"
Fishkill Town,1,0,0,0,0,0,0,1,0,0,"21,532"
Fitchburg,1,0,0,0,0,0,1,0,0,0,"40,445"
Flint,9,0,1,0,0,0,2,3,4,1,"96,605"
Florence,19,1,0,0,1,0,8,6,5,2,"32,866"
Florida Gulf Coast University,0,1,0,0,0,0,0,0,0,1,"14,821"
Flower Mound,2,0,1,0,0,0,0,0,0,3,"75,101"
Floyd,2,0,0,0,0,0,1,1,0,0,
Floyd County,0,1,0,0,0,0,0,0,0,1,
Floyd,2,0,0,0,1,0,0,0,1,1,
Fond du Lac,0,1,0,0,0,0,0,0,1,0,"42,929"
Fontana,0,2,1,0,0,0,1,1,1,0,"211,782"
Ford,0,1,0,0,0,0,0,0,0,1,
Forest Lake,0,0,1,0,0,0,1,0,0,0,"19,804"
Forest Park,0,0,1,0,0,0,0,0,1,0,"13,950"
Forest Park,1,0,0,0,0,0,0,0,1,0,"18,665"
Forks,1,0,0,0,0,0,0,0,0,1,"3,822"
Forsyth,1,0,0,0,0,0,1,0,0,0,
Forsyth,4,0,1,0,0,0,1,1,2,1,
Fort Bend,3,0,0,0,0,0,1,1,,1,
Fort Bragg,2,1,0,0,0,0,1,1,0,1,"7,289"
Fort Lauderdale,2,2,2,0,0,0,0,2,3,1,"180,972"
Fort Lee,1,0,1,0,0,0,0,1,1,0,"38,095"
Fort Mitchell,1,0,0,0,0,0,0,1,0,0,"8,306"
Fort Myers,1,1,1,0,0,0,1,1,0,1,"79,918"
Fort Smith,4,0,0,0,0,0,0,1,1,2,"88,437"
Fort Wayne,2,0,2,0,0,0,0,2,1,1,"266,259"
Fort Worth,7,2,4,0,0,0,2,1,7,3,"873,069"
Foster City,0,1,0,0,0,0,1,0,0,0,"34,808"
Fox Lake,1,0,0,0,0,0,0,1,0,0,"10,432"
Fox River Grove,1,0,0,0,0,0,0,0,0,1,"4,628"
Framingham,1,3,1,0,0,0,3,1,1,0,"72,153"
Framingham State University,8,0,0,0,0,0,,0,0,8,"5,977"
Frankfort,5,1,0,0,1,0,1,2,0,4,"27,975"
Frankfort,2,0,0,0,0,0,1,0,1,0,
Franklin,3,0,1,0,0,0,0,2,0,2,"8,884"
Franklin,1,0,0,0,0,0,1,0,0,0,
Franklin,0,1,0,1,0,0,1,1,0,0,
Franklin,3,0,0,0,0,0,1,0,2,0,"11,779"
Franklin,1,0,0,0,0,0,0,0,1,0,
Franklin,1,0,0,0,0,0,0,0,0,1,
Franklin,1,0,1,0,0,0,0,0,2,0,
Franklin County ,1,0,0,0,0,0,0,0,0,1,
Franklin Lakes,1,5,0,0,0,0,0,1,0,5,"10,939"
"Franklin Township, Somerset County",1,0,0,0,0,0,1,0,0,0,"67,463"
Frederick,2,0,0,0,0,0,0,1,0,1,
Frederick County,0,0,1,0,0,0,0,1,0,0,
Freehold Borough,1,0,0,0,0,0,0,0,0,1,"11,865"
Freehold Township,2,0,1,0,0,0,2,0,1,0,"35,531"
Fremont,1,1,0,0,0,0,0,1,1,0,"236,368"
Fremont,1,0,0,0,0,0,0,0,1,0,"4,020"
Fresno,7,1,4,0,0,1,1,3,6,3,"526,371"
Fresno,1,0,1,0,0,0,1,0,1,0,
Fridley,0,0,1,0,0,0,0,0,1,0,"27,516"
Frisco,1,0,0,0,0,0,0,0,1,0,"172,804"
Front Royal,0,0,1,0,0,0,0,1,0,0,"15,270"
Fruita,0,0,1,0,0,0,1,0,0,0,"12,971"
Fulton,0,0,1,0,0,0,0,0,1,0,"2,174"
Fulton,1,0,0,0,0,0,0,1,0,0,
Fulton City,1,0,0,0,0,0,0,1,0,0,"11,321"
Gahanna,1,1,0,0,0,1,1,1,1,0,"35,243"
Gaines Township,1,0,0,0,0,0,1,0,0,0,"6,139"
Gainesville,0,1,0,0,0,0,0,0,1,0,"132,777"
Galena Park,1,1,0,0,0,0,0,1,,1,"11,091"
Galesburg,2,0,0,0,0,0,0,0,1,1,"2,055"
Gallatin,1,0,0,0,0,0,0,0,1,0,
Galveston,2,0,1,0,0,0,0,3,0,0,"51,021"
Garden City,2,1,0,0,0,0,0,0,3,0,"26,728"
Garden Grove,7,0,0,0,0,1,3,0,4,1,"175,466"
Garfield,0,0,1,0,0,0,0,0,0,1,
Garrettsville,1,0,0,0,0,0,0,0,0,1,"2,321"
Gaston County Police Department,3,0,1,0,0,0,1,1,0,2,
Gates Town,1,0,0,0,0,0,0,0,0,1,"28,723"
Gaylord,2,0,0,0,0,0,0,0,1,1,"3,697"
Genesee,2,2,0,0,0,0,1,1,0,2,
Genesee County,1,0,0,0,0,0,0,0,1,0,
Genesee County ,1,0,0,0,0,0,1,0,0,0,
Geneseo,1,0,1,0,0,0,1,0,1,0,"5,602"
George Mason University,3,0,0,0,0,0,0,1,2,0,"34,909"
Georgetown,2,0,0,0,0,1,1,1,0,1,"34,184"
Georgetown,2,0,0,0,0,0,0,0,0,2,"4,356"
Georgetown,0,1,0,0,0,0,0,0,0,1,
Germantown,1,0,0,0,1,0,0,1,0,1,"39,086"
Gibson,1,0,0,0,0,0,0,1,0,0,
Giddings,1,0,0,0,0,0,0,0,0,1,"5,154"
Gilbert,2,1,0,0,0,0,0,1,1,1,"242,090"
Gladstone,2,1,0,0,0,0,1,0,1,1,"27,390"
Glasgow,6,0,0,0,0,0,0,3,1,2,"14,690"
Glendale,3,2,0,0,0,0,0,1,2,2,"249,273"
Glendora,1,0,0,0,0,0,0,0,0,1,"52,133"
Gloucester,1,1,0,0,0,0,2,0,0,0,
Gogebic County,2,0,0,0,0,0,1,0,1,0,
Golden,1,0,0,0,0,0,0,0,0,1,"20,948"
Goleta,1,0,0,0,0,0,1,0,0,0,"31,000"
Gonzales,1,0,0,0,0,0,1,0,0,0,"8,508"
Goochland,0,1,0,0,0,0,0,1,0,0,
Goodhue,1,0,0,0,0,0,,,,1,"1,186"
Grafton,2,0,0,0,0,0,0,1,1,0,"18,763"
Grain Valley,2,0,0,0,0,0,0,0,1,1,"13,825"
Grand Blanc,1,0,0,0,0,0,1,0,0,0,"7,904"
Grand Forks,2,0,0,0,0,0,0,1,1,0,"58,090"
Grand Island,1,0,1,0,0,0,0,1,0,1,"51,980"
Grand Junction,0,1,1,0,0,0,1,1,0,0,"62,352"
Grand Rapids,5,1,4,0,0,0,1,0,6,3,"197,868"
Grand Ronde Tribal,1,0,0,0,0,0,0,1,0,0,
Grand Traverse,2,0,0,0,0,0,0,1,1,0,
Grand Valley State University,0,0,2,0,0,0,0,0,2,0,"25,460"
Grandview,1,0,0,0,0,0,0,1,0,0,"25,308"
Grandville,0,2,0,0,0,0,0,1,1,0,"16,108"
Grant,0,1,0,0,0,0,0,0,0,1,
Gratiot,1,1,1,0,0,0,2,0,1,0,
Graves,1,0,0,0,0,0,1,0,0,0,
Greater Hardin County Narcotics Task Force,1,0,0,0,0,0,0,1,0,0,
Greeley,3,0,0,0,0,0,1,0,1,1,"105,906"
Greeleyville,1,0,0,0,0,0,1,0,0,0,400
Green Township,3,0,0,0,0,0,0,1,2,0,"58,853"
Greenbrier,0,0,1,0,0,0,1,0,0,0,"6,853"
Greenburgh Town,0,1,0,0,0,1,1,0,1,0,"45,923"
Greene,2,0,0,0,0,0,0,1,1,0,
Greene,0,1,0,0,0,0,0,0,1,0,
Greene County ,1,0,0,0,0,0,0,1,,0,
Greeneville,0,0,0,1,0,0,0,0,1,0,"15,065"
Greenfield,1,0,0,0,0,0,0,0,0,1,"17,462"
Greensboro,4,1,1,0,0,0,0,1,2,3,"290,051"
Greensburg,1,0,0,0,0,0,0,0,0,1,"2,123"
Greenup,1,0,0,0,0,0,0,0,1,0,
Greenville,0,1,1,0,0,0,0,0,2,0,"68,922"
Greenville,1,0,0,0,0,0,0,0,0,1,
Greenville,1,0,0,0,0,0,0,0,1,0,"27,434"
Greenwood,1,0,0,0,0,0,0,0,0,1,
Gresham,0,0,1,1,0,0,0,1,1,0,"112,466"
Gretna,1,0,0,0,0,0,0,0,1,0,"17,923"
Grosse Pointe,0,1,0,0,0,0,1,0,0,0,"5,151"
Grosse Pointe Farms,0,0,1,0,0,0,0,0,1,0,"9,106"
Groton,1,0,0,0,0,0,0,1,0,0,"9,093"
Groton Town,1,0,0,0,0,0,1,0,0,0,"29,524"
Grove City,1,0,0,1,0,0,1,1,0,0,"40,421"
Groveport,1,0,0,0,0,0,0,0,1,0,"5,583"
Guilford,0,0,1,0,0,0,0,0,1,0,"22,259"
Guilford,1,0,0,0,0,0,0,0,1,0,
Gulfport,1,0,0,0,0,0,0,0,0,1,"72,792"
Gwinnett County Police Department,2,2,0,0,0,0,1,2,0,0,
Hackensack,4,4,1,0,0,0,1,0,2,6,"45,226"
Hackettstown,1,0,0,0,0,0,1,0,0,0,"9,520"
Haddon Township,2,0,0,0,0,0,1,1,0,0,"14,731"
Haddonfield,1,0,0,0,0,0,1,0,0,0,"11,445"
Halifax County,0,0,0,1,0,0,1,0,0,0,
Hamburg Town,1,0,0,0,0,0,0,0,1,0,"46,040"
Hamilton,7,2,1,0,0,0,2,2,5,1,"62,094"
Hamilton,1,2,0,0,0,0,0,0,3,0,
Hamilton County ,1,0,0,0,0,0,0,0,0,1,
"Hamilton Township, Mercer County",5,0,0,0,0,0,1,1,1,2,"88,723"
Hammond,2,0,1,0,0,0,,,2,1,"76,550"
Hampshire College,3,0,0,0,0,0,1,1,1,0,"1,321"
Hampton,0,0,1,0,0,0,0,0,1,0,
Hampton,3,0,0,0,0,0,0,1,1,1,"134,929"
Hampton Township,1,0,0,0,0,0,1,0,0,0,"9,522"
Hamtramck,1,1,0,0,0,0,0,1,0,1,"21,654"
Hanover Township,1,4,0,0,0,0,4,1,0,0,"14,904"
Hardin,1,0,0,0,0,0,0,1,0,0,
Hardin,2,1,1,0,0,0,2,1,0,1,
Hardin,1,0,0,0,0,0,0,0,1,0,
Harford,1,0,0,0,0,0,1,0,0,,
Harlan,1,0,0,0,0,0,0,0,1,0,
Harrison,0,1,0,0,0,0,0,1,0,0,
Harrison Township,0,0,1,0,0,0,0,0,0,1,"13,128"
Harrisonburg,2,0,0,0,0,0,0,2,0,0,"53,717"
Harrisonburg,0,0,1,0,0,0,0,0,0,1,
Hart,4,1,0,0,0,0,1,3,0,1,"2,080"
Hartford,2,1,1,0,0,0,1,1,0,2,"122,891"
Hartford,1,0,0,1,0,0,0,0,1,1,"9,628"
Hartsville,1,0,1,0,0,0,0,0,1,1,"7,769"
Harvard University,1,0,0,0,0,0,1,,,,"29,908"
Hastings-on-Hudson Village,0,3,0,0,0,0,0,1,1,1,"7,987"
Haven,1,0,0,0,0,0,0,1,0,0,"1,207"
Haverhill,2,1,0,0,0,0,1,0,1,1,"63,244"
Haworth,0,2,0,0,0,0,0,0,0,2,"3,491"
Hays,0,1,0,0,0,0,0,1,0,0,"21,110"
Haysville,1,0,0,0,0,0,0,1,0,0,"11,314"
Hayward,3,1,0,0,0,0,2,1,0,1,"161,417"
Hazard,3,0,0,0,0,0,1,0,1,1,
Hempstead Village,0,0,1,0,0,0,0,1,0,0,"55,807"
Henderson,1,0,0,0,0,0,0,0,0,1,
Henderson,1,0,0,0,0,0,0,0,0,1,"299,285"
Henderson,0,0,0,0,0,1,0,1,0,0,"13,366"
Hendry,1,0,0,0,0,0,1,0,0,0,
Henrico County,0,0,1,0,0,0,0,0,0,1,
Henrico County Police Department,1,0,0,0,0,0,1,0,0,0,
Herington,0,0,1,0,0,0,1,0,0,0,"2,336"
Hertford,1,0,0,0,0,0,0,0,1,0,"2,122"
Hesperia,3,0,0,0,0,0,2,0,0,1,"94,292"
Hewitt,0,0,1,0,0,0,1,0,0,0,"14,443"
Heyburn,0,1,0,0,0,0,1,0,0,0,"3,306"
Hickman,0,1,0,0,0,0,0,0,1,0,
High Bridge,0,1,0,0,0,0,0,1,0,0,"3,524"
High Point,1,0,0,0,0,0,0,0,0,1,"112,368"
Highland,1,0,0,0,0,0,1,0,0,0,"55,229"
Highland,1,0,0,0,0,0,0,0,1,0,
Highland Park,2,0,0,0,0,0,0,1,0,1,"10,757"
Highland Park,2,2,0,0,0,0,1,1,1,1,"14,287"
Hightstown,2,0,0,0,0,0,1,1,0,0,"5,522"
"Highway Patrol, Troop E",0,0,0,1,0,0,0,0,0,1,
Hilliard,1,1,0,0,0,0,2,0,0,0,"36,144"
Hillsboro,1,3,0,0,0,0,1,2,1,0,"107,433"
Hillsborough,0,1,0,0,0,0,0,1,0,0,
Hillsborough Township,3,1,0,0,0,0,1,2,0,1,"40,369"
Hillview,1,0,0,0,0,0,0,1,0,0,"8,942"
Hingham,1,0,0,0,0,0,0,0,1,0,"23,392"
Hitchcock,1,0,0,1,0,0,0,0,0,2,"7,949"
Hoboken,3,3,0,0,0,0,4,1,0,1,"55,348"
Hocking,0,1,0,0,0,0,0,0,0,1,
Holland,0,0,0,0,1,0,0,0,0,1,"2,502"
Holland,3,0,0,0,0,0,2,1,0,0,"33,613"
Holland,1,1,0,0,0,0,0,1,1,0,"1,662"
Hollister,1,0,0,0,0,0,0,0,1,0,"38,310"
Hollywood,0,0,1,0,0,0,1,0,0,0,"153,893"
Homestead,1,1,2,0,0,0,0,1,,3,"69,276"
Homewood,2,0,0,0,0,0,0,1,1,0,"19,150"
Hoover,5,1,0,0,0,0,2,1,2,1,"85,634"
Hopewell Township,1,0,2,0,0,0,1,2,0,0,"18,633"
Hopkinsville,2,0,0,0,0,0,1,0,0,1,"31,761"
Hoquiam,1,0,0,0,0,0,1,0,0,0,"8,386"
Horry County Police Department,0,0,1,0,0,0,0,0,1,0,
Houston,2,3,1,0,0,2,2,1,2,3,"2,338,235"
Howard County Police Department,0,1,0,0,0,0,1,0,,,
Howell Township,7,4,0,0,0,0,4,2,4,1,"52,432"
Howland Township,1,0,0,0,0,0,0,0,1,0,"16,608"
Huber Heights,0,0,0,1,0,0,0,0,1,0,"37,996"
Hudson,0,2,0,0,0,0,0,0,1,1,"19,963"
Hudson,1,0,0,0,0,0,1,0,0,0,"25,212"
Hudson,1,0,1,1,0,0,0,0,1,2,"22,248"
Hudson,1,3,8,0,0,0,2,3,6,1,"13,788"
Huerfano,0,1,0,0,0,0,0,1,0,0,
Huntington,0,1,0,0,0,0,0,0,0,1,"47,933"
Huntington Beach,2,0,0,0,0,0,0,0,1,1,"202,244"
Huntington Park,1,1,0,0,0,0,1,1,0,0,"59,004"
Huntington Woods,0,1,0,0,0,0,0,1,0,0,"6,343"
Huron,1,0,0,0,0,0,0,1,0,0,
Huron Township,1,0,0,0,0,0,1,0,0,0,"15,636"
Hutchinson,1,0,0,1,0,0,0,1,0,1,"41,160"
Idaho,1,0,0,0,0,0,0,0,1,0,
Idaho Springs,1,0,0,0,0,0,0,0,0,1,"1,751"
Idaho State Police,1,1,0,0,0,0,0,1,1,0,
Ilion Village,1,0,0,0,0,0,0,0,1,0,"7,801"
Illinois State University,0,1,0,0,0,0,0,0,0,1,"21,039"
Independence,1,0,0,0,0,0,1,0,0,0,"27,400"
Independence,4,0,0,0,0,0,2,1,0,1,"117,055"
Independence Township,1,0,0,0,0,0,0,1,0,0,"36,836"
Independent School District:  ,,,,,,,,,,,
Indio,1,0,0,0,0,0,0,0,1,0,"90,055"
Inglewood,2,0,0,0,0,0,0,1,0,1,"110,811"
Inkster,1,0,0,0,0,0,1,0,0,0,"24,324"
Interlaken,0,0,1,0,0,0,0,1,0,0,798
Inver Grove Heights,4,1,0,0,0,0,0,3,0,2,"35,254"
Ionia,1,0,1,0,0,0,0,2,0,0,"11,287"
Iowa City,3,0,0,0,0,0,2,0,1,0,"75,519"
Iowa Park,1,1,0,0,0,0,0,0,0,2,"6,361"
Irmo,1,0,0,0,0,0,0,0,1,0,"12,353"
Iron River,1,0,0,0,0,0,0,0,0,1,"2,838"
Ironton,1,0,0,0,0,0,0,0,0,1,"10,853"
Irvine,4,0,0,0,0,0,1,0,0,3,"276,115"
Irvine,0,0,0,1,0,0,0,0,0,1,"2,385"
Isabella County,1,0,0,0,0,0,0,0,0,1,
Issaquah,2,2,1,0,0,0,0,2,2,1,"38,592"
Ithaca,2,0,0,0,0,0,0,1,1,0,"30,875"
Jackson,0,2,0,0,0,0,0,2,0,0,
Jackson,3,0,0,0,0,0,1,2,0,0,
Jackson,1,0,0,0,0,0,0,1,0,0,"6,305"
Jackson,3,0,2,0,0,0,1,3,1,0,"67,031"
Jackson County,3,0,1,0,0,0,1,1,1,1,
Jacksonville,3,2,1,0,0,0,1,0,2,3,"894,638"
Jacksonville,2,0,0,0,0,0,0,0,1,1,"67,293"
Jacksonville,1,0,0,0,0,0,0,0,0,1,"14,955"
Jacksonville State University,1,0,0,0,0,0,,,1,,"8,514"
Jamestown,2,0,0,0,0,0,1,0,1,0,"2,036"
Jamestown,0,0,1,1,0,0,1,0,1,0,"1,964"
Jefferson,1,1,1,0,0,0,1,0,1,1,
Jefferson,1,0,0,0,0,0,0,1,0,0,
Jefferson,1,0,0,0,0,0,0,1,0,0,
Jefferson County School District,1,1,0,0,1,0,1,1,0,1,
Jefferson Township,1,0,0,0,0,0,1,0,0,0,"21,505"
Jersey City,0,0,1,0,0,0,1,0,0,0,"267,906"
Jessamine,0,0,0,1,0,0,0,0,1,0,
Johnson,1,0,0,0,0,0,0,0,1,0,
Johnson City Village,1,0,0,0,0,0,0,0,1,0,"14,595"
Johnston,1,0,0,0,0,0,0,1,0,0,"29,375"
Jonesborough,0,0,0,1,0,0,0,1,0,0,"5,378"
Joplin,0,0,1,0,0,0,0,0,0,1,"52,412"
Junction City,1,0,0,0,0,0,0,1,0,0,"24,240"
Juneau,2,0,0,0,0,0,0,0,0,2,"32,344"
Juneau,0,0,0,1,0,0,0,1,0,0,"2,703"
Kalamazoo County,2,0,0,0,0,0,0,1,0,1,
Kalispell,2,0,0,0,0,0,0,2,0,0,"23,243"
Kannapolis,1,0,0,0,0,0,0,1,0,0,"48,754"
Kansas City,34,5,6,0,1,1,6,19,16,6,"484,948"
Kansas State University,1,0,0,0,0,0,1,0,0,0,"23,779"
Kaufman,1,0,0,0,0,0,0,0,0,1,
Kaukauna,0,0,1,0,0,0,0,0,1,0,"15,969"
Kaysville,1,1,0,0,0,0,2,0,0,0,"31,873"
Keansburg,8,1,1,0,0,0,0,1,7,2,"9,782"
Kearney,1,0,0,0,0,0,0,0,0,1,"33,960"
Keene,0,1,0,0,0,0,0,0,0,1,"23,386"
Keene,2,0,0,0,0,0,1,1,0,0,"6,334"
Kellyville,0,0,1,0,0,0,0,0,0,1,"1,147"
Kelso,1,0,0,0,0,0,0,0,0,1,"12,070"
Kent,3,0,0,0,0,0,0,1,1,1,
Kent,13,2,0,0,0,0,5,5,3,2,"128,990"
Kent County,2,1,0,0,0,0,0,2,1,0,
Kent County,3,0,0,0,0,0,0,0,1,2,
Kenton County Police Department,1,0,0,0,0,0,0,0,1,0,
Kentucky State University,2,0,0,0,0,0,0,1,1,0,"1,736"
Kern,2,0,0,0,0,0,0,1,0,1,
Key Biscayne,0,0,1,0,0,0,1,0,0,0,"13,127"
Key West,0,0,1,0,0,0,1,0,0,0,"27,399"
Kimberly,2,0,0,0,0,0,0,0,1,1,"3,812"
King,4,0,0,0,0,0,3,1,0,,
